Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
Drivezy,,"Bengaluru, Karnataka, India","Automotive, Rental, Sharing Economy",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,,,Debt Financing,100.0,2018,Bengaluru,Other,Other
Freyr Energy,,"Hyderabad, Andhra Pradesh, India","Energy, Environmental Consulting, Renewable Energy, Solar","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",,,Series A,1.5,2018,Hyderabad,Energy,Series A
NIRAMAI Health Analytix,,"Bangalore, Karnataka, India","Health Care, Hospital",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,,,Seed,6.0,2018,Bangalore,Technology & Software,Seed
CloudSek,,"Bengaluru, Karnataka, India","Information Technology, SaaS, Security",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,,,Seed,0.8839499936860715,2018,Bengaluru,Technology & Software,Seed
Lendbox,,"Delhi, Delhi, India","Crowdfunding, Financial Services, Internet",Lendbox is India's leading peer-to-peer lending online lending platform.,,,Seed,0.37883571157974494,2018,Delhi,Other,Seed
Verloop,,"Bangalore, Karnataka, India","Customer Service, Information Technology, Internet, Sales Automation",Verloop is an automated customer support and engagement platform.,,,Series A,3.0,2018,Bangalore,Technology & Software,Series A
Paymatrix,,"Hyderabad, Andhra Pradesh, India","Credit Cards, Payments, Property Insurance, Property Management, Rental Property",India's Leading Property Rent management platform,,,Seed,0.1,2018,Hyderabad,Technology & Software,Seed
Idha Skin Clinic,,"Bangalore City, Karnataka, India","Beauty, Cosmetics, Health Care, Service Industry",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,,,Seed,0.03156964263164541,2018,Bangalore,Healthcare & HealthTech,Seed
InCred,,"Mumbai, Maharashtra, India","Banking, Finance, Financial Services",InCred Finance is a mumbai-based non-banking financial company,,,Private Equity,41.9,2018,Mumbai,Finance & FinTech,Other
Vedantu,,"Bangalore, Karnataka, India","EdTech, Education, Mobile, Tutoring",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,,,Series B,11.0,2018,Bangalore,Technology & Software,Series B
